order_id,store_id,city,category,order_timestamp,day_of_week,order_hour,is_peak_hour,pick_time_min,pack_time_min,dispatch_time_min,delivery_time_min,total_fulfillment_time_min,sla_breached,stockout_flag,cancelled_flag,revenue_inr,items_count,customer_rating
ORD100000,DS_Mumbai_BKC,Mumbai,Staples,2024-01-13 14:15:00,Saturday,14,0,7.0,2.9,2.3,25.6,37.8,1,0,0,1357.27,11,3.6
ORD100001,DS_Mumbai_BKC,Mumbai,Personal Care,2024-10-29 19:02:00,Tuesday,19,1,9.5,4.6,2.4,21.7,38.2,1,1,1,969.0,1,3.9
ORD100002,DS_Delhi_Lajpat,Delhi,Frozen,2024-11-28 23:26:00,Thursday,23,0,5.1,2.5,2.1,8.4,18.1,0,0,0,1109.97,1,3.5
ORD100003,DS_Delhi_CP,Delhi,Dairy,2024-12-23 19:21:00,Monday,19,1,8.9,2.0,2.2,19.5,32.6,1,0,0,481.73,6,3.1
ORD100004,DS_Mumbai_BKC,Mumbai,Staples,2024-07-13 09:22:00,Saturday,9,1,12.9,2.8,2.0,16.9,34.599999999999994,1,0,0,1134.26,1,3.5
ORD100005,DS_Pune_Kothrud,Pune,Personal Care,2024-10-01 09:59:00,Tuesday,9,1,10.2,1.8,2.2,21.0,35.2,1,0,0,1047.43,11,3.6
ORD100006,DS_Bangalore_Whitefield,Bangalore,Frozen,2024-10-22 12:45:00,Tuesday,12,1,8.8,4.9,2.0,18.7,34.4,1,1,0,1418.75,2,4.0
ORD100007,DS_Delhi_Lajpat,Delhi,Snacks,2024-02-21 18:17:00,Wednesday,18,0,3.6,3.2,1.0,11.4,19.200000000000003,0,0,0,1521.31,3,4.3
ORD100008,DS_Bangalore_Whitefield,Bangalore,Staples,2024-04-17 14:44:00,Wednesday,14,0,7.5,3.2,1.9,16.5,29.1,0,0,0,1208.7,10,3.6
ORD100009,DS_Delhi_CP,Delhi,Staples,2024-09-30 13:10:00,Monday,13,1,8.6,2.5,2.5,25.7,39.3,1,0,0,573.51,11,3.0
ORD100010,DS_Delhi_Lajpat,Delhi,Frozen,2024-12-16 16:53:00,Monday,16,0,6.6,2.6,1.7,21.1,32.0,1,0,0,213.98,1,4.1
ORD100011,DS_Bangalore_Whitefield,Bangalore,Snacks,2024-07-24 14:04:00,Wednesday,14,0,7.9,2.2,1.8,19.7,31.6,1,0,0,1704.09,12,4.1
ORD100012,DS_Delhi_Lajpat,Delhi,Snacks,2024-12-01 21:25:00,Sunday,21,1,9.0,2.8,1.4,18.0,31.200000000000003,1,0,0,1199.99,3,4.0
ORD100013,DS_Delhi_CP,Delhi,Beverages,2024-05-06 23:34:00,Monday,23,0,8.7,2.9,2.5,19.8,33.9,1,0,0,1102.1,10,3.4
ORD100014,DS_Bangalore_Whitefield,Bangalore,Fruits & Veg,2024-04-22 10:32:00,Monday,10,0,6.7,4.5,2.0,25.8,39.0,1,0,0,1389.71,2,2.7
ORD100015,DS_Delhi_CP,Delhi,Snacks,2024-12-14 19:38:00,Saturday,19,1,11.6,3.1,1.9,24.5,41.099999999999994,1,1,1,1793.48,9,2.9
ORD100016,DS_Mumbai_Andheri,Mumbai,Snacks,2024-12-14 09:43:00,Saturday,9,1,9.6,3.4,2.7,21.4,37.099999999999994,1,0,0,1381.47,11,3.4
ORD100017,DS_Mumbai_BKC,Mumbai,Snacks,2024-05-30 19:10:00,Thursday,19,1,9.0,3.9,2.2,21.4,36.5,1,0,0,1722.41,12,3.9
ORD100018,DS_Delhi_CP,Delhi,Personal Care,2024-09-16 09:55:00,Monday,9,1,10.2,4.0,1.6,22.4,38.199999999999996,1,0,0,1534.0,9,3.5
ORD100019,DS_Delhi_Lajpat,Delhi,Dairy,2024-03-19 17:48:00,Tuesday,17,0,3.1,3.3,2.1,18.0,26.5,0,0,0,1721.88,9,4.1
ORD100020,DS_Bangalore_Whitefield,Bangalore,Fruits & Veg,2024-09-07 06:07:00,Saturday,6,0,3.2,2.6,1.8,14.0,21.6,0,0,0,1596.25,5,4.1
ORD100021,DS_Mumbai_Andheri,Mumbai,Frozen,2024-05-03 08:05:00,Friday,8,1,10.8,4.9,2.1,25.3,43.1,1,0,0,1490.92,9,3.7
ORD100022,DS_Delhi_CP,Delhi,Personal Care,2024-03-06 21:35:00,Wednesday,21,1,6.2,3.0,2.0,36.3,47.5,1,1,0,1139.08,4,3.6
ORD100023,DS_Delhi_Lajpat,Delhi,Beverages,2024-06-08 18:42:00,Saturday,18,0,6.6,3.0,1.4,23.7,34.7,1,0,0,856.01,9,4.0
ORD100024,DS_Mumbai_BKC,Mumbai,Personal Care,2024-05-06 13:04:00,Monday,13,1,11.6,2.1,2.7,17.0,33.4,1,0,0,1108.36,4,3.9
ORD100025,DS_Delhi_Lajpat,Delhi,Frozen,2024-01-04 08:45:00,Thursday,8,1,14.4,2.0,1.7,24.5,42.599999999999994,1,0,0,504.62,1,3.5
ORD100026,DS_Bangalore_Whitefield,Bangalore,Fruits & Veg,2024-02-06 22:15:00,Tuesday,22,0,2.9,3.1,1.5,20.4,27.9,0,0,0,935.5,9,3.8
ORD100027,DS_Pune_Kothrud,Pune,Beverages,2024-05-04 21:51:00,Saturday,21,1,13.1,2.2,1.8,28.1,45.2,1,0,0,278.47,11,3.2
ORD100028,DS_Bangalore_Whitefield,Bangalore,Staples,2024-08-04 19:29:00,Sunday,19,1,10.5,4.3,1.2,24.9,40.9,1,0,0,211.01,11,3.8
ORD100029,DS_Mumbai_BKC,Mumbai,Fruits & Veg,2024-02-01 18:46:00,Thursday,18,0,7.6,1.8,1.3,20.6,31.300000000000004,1,0,0,1567.61,4,3.8
ORD100030,DS_Delhi_Lajpat,Delhi,Frozen,2024-10-01 20:08:00,Tuesday,20,1,10.5,3.3,1.7,25.2,40.7,1,0,0,587.96,4,3.8
ORD100031,DS_Mumbai_BKC,Mumbai,Frozen,2024-08-14 23:06:00,Wednesday,23,0,4.6,4.9,2.2,12.0,23.7,0,1,0,1524.53,2,4.5
ORD100032,DS_Delhi_Lajpat,Delhi,Fruits & Veg,2024-03-26 19:31:00,Tuesday,19,1,8.1,3.8,2.6,19.9,34.4,1,0,0,1572.61,1,4.1
